n_features,features,silhouette,jacs_score,combined,k,best_cluster,best_n_good,best_n_jacs
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'AAC_G', 'ESM2_560')",0.28008180349447903,1.5,0.6460572624461353,3,0,86,86
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'AAC_G', 'InterPLM_esm2-650m_L24_mean_1774')",0.27969528081363054,1.5,0.6457866965695414,3,2,86,86
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'ESM2_917', 'AAC_G')",0.2795835409240078,1.5,0.6457084786468054,3,1,85,85
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'AAC_G', 'ESM2_518')",0.27957142157447534,1.5,0.6456999951021327,3,2,88,88
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'InterPLM_esm2-650m_L24_mean_949', 'AAC_G')",0.27935167023209656,1.5,0.6455461691624675,3,2,88,88
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'AAC_G', 'MOL_WEIGHT')",0.2792180406778801,1.5,0.645452628474516,4,2,78,78
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'AAC_G', 'ESM2_2')",0.2790624012928102,1.5,0.6453436809049671,4,0,83,83
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'AAC_G', 'ESM2_521')",0.2782913229813028,1.5,0.644803926086912,3,2,87,87
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'AAC_G', 'ESM2_518')",0.27822972203851337,1.5,0.6447608054269593,3,2,87,87
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'AAC_G', 'ESM2_48')",0.277927518891418,1.5,0.6445492632239925,3,2,90,90
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'ESM2_3', 'ESM2_518')",0.27777449109469665,1.5,0.6444421437662876,2,0,76,78
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'InterPLM_esm2-650m_L24_mean_6997', 'AAC_G')",0.2777119733100703,1.5,0.6443983813170492,3,0,87,87
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'AAC_G', 'ESM2_82')",0.2774239302889768,1.5,0.6441967512022837,3,2,87,87
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'ESM2_848', 'ESM2_1271')",0.2768151086879047,1.5,0.6437705760815332,2,1,75,77
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'ESM2_3', 'ESM2_406')",0.2810619444843322,1.49,0.6437433611390325,2,0,74,76
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'InterPLM_esm2-650m_L24_mean_949', 'ESM2_3')",0.2765969193778455,1.5,0.6436178435644918,2,0,78,80
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'ESM2_3', 'ESM2_1271')",0.2761347037079561,1.5,0.6432942925955693,2,0,77,79
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'AAC_G', 'InterPLM_esm2-650m_L24_mean_10015')",0.275785291007629,1.5,0.6430497037053402,3,0,88,88
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'AAC_G', 'ESM2_776')",0.27556355199685817,1.5,0.6428944863978007,3,2,89,89
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'AAC_G', 'MOL_WEIGHT')",0.2755117487423323,1.5,0.6428582241196326,3,0,88,88
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'InterPLM_esm2-650m_L24_mean_949', 'AAC_G')",0.2751270888737867,1.5,0.6425889622116506,3,0,91,91
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'AAC_G', 'InterPLM_esm2-650m_L24_mean_10015')",0.27509981605007233,1.5,0.6425698712350506,3,2,87,87
